CTUID,Geography,Total - Sex,  Male,  Female
5350297.01,0297.01 (5350297.01)   00000 (  4.4%),7310,3290,4025
5350297.02,0297.02 (5350297.02)   00000 (  2.4%),6500,3140,3360
5350298.00,0298.00 (5350298.00)   00000 (  1.7%),4660,2200,2460
5350299.01,0299.01 (5350299.01)   00000 (  3.6%),6260,3005,3250
5350299.02,0299.02 (5350299.02)   00000 (  3.6%),5245,2465,2780
5350300.00,0300.00 (5350300.00)   00000 (  3.1%),13665,6535,7130
5350301.01,0301.01 (5350301.01)   00000 (  2.4%),2915,1370,1540
5350301.03,0301.03 (5350301.03)   00100 (  3.4%),6950,3500,3450
5350301.04,0301.04 (5350301.04)   00100 (  3.2%),5860,2810,3055
5350302.01,0302.01 (5350302.01)   00000 (  1.8%),6250,2915,3340
5350302.02,0302.02 (5350302.02)   00000 (  2.8%),6140,2995,3150
5350302.03,0302.03 (5350302.03)   00000 (  2.6%),3425,1685,1740
5350303.00,0303.00 (5350303.00)   00000 (  2.5%),5355,2625,2730
5350304.01,0304.01 (5350304.01)   00000 (  2.7%),4545,2190,2350
5350304.02,0304.02 (5350304.02)   00000 (  4.2%),4775,2185,2595
5350304.03,0304.03 (5350304.03)   00000 (  2.3%),2895,1320,1575
5350304.04,0304.04 (5350304.04)   00000 (  3.1%),3725,1800,1925
5350304.05,0304.05 (5350304.05)   00000 (  2.8%),2845,1315,1535
5350304.06,0304.06 (5350304.06)   00000 (  2.5%),5805,2775,3030
5350305.01,0305.01 (5350305.01)   00000 (  2.2%),4450,2170,2280
5350305.03,0305.03 (5350305.03)   00000 (  3.6%),4910,2295,2620
5350305.04,0305.04 (5350305.04)   00100 (  5.0%),9135,4240,4890
5350306.01,0306.01 (5350306.01)   00000 (  2.9%),4575,2165,2405
5350306.02,0306.02 (5350306.02)   00000 (  2.8%),4795,2285,2510
5350307.03,0307.03 (5350307.03)   00100 (  3.9%),5040,2280,2760
5350307.04,0307.04 (5350307.04)   00000 (  3.4%),7035,3265,3770
5350307.05,0307.05 (5350307.05)   00100 (  3.5%),3580,1610,1970
5350307.06,0307.06 (5350307.06)   00000 (  4.0%),5425,2555,2870
5350307.07,0307.07 (5350307.07)   00100 (  3.2%),6320,2990,3335
5350308.02,0308.02 (5350308.02)   00000 (  2.8%),4310,2135,2170
5350308.03,0308.03 (5350308.03)   00000 (  2.2%),1145,590,555
5350308.04,0308.04 (5350308.04)   00000 (  4.0%),11475,5260,6220
5350309.00,0309.00 (5350309.00)   00000 (  4.8%),6380,2870,3510
5350310.01,0310.01 (5350310.01)   00000 (  3.3%),3515,1750,1765
5350310.02,0310.02 (5350310.02)   00000 (  3.1%),5045,2470,2580
5350311.02,0311.02 (5350311.02)   00000 (  3.3%),5825,2795,3030
5350311.03,0311.03 (5350311.03)   00000 (  2.8%),2650,1285,1370
5350311.04,0311.04 (5350311.04)   00000 (  2.7%),6555,3065,3485
5350311.05,0311.05 (5350311.05)   00100 (  3.8%),6825,3495,3330
5350311.06,0311.06 (5350311.06)   00100 (  5.4%),5745,3010,2735
5350312.02,0312.02 (5350312.02)   00000 (  3.2%),3445,1655,1795
5350312.03,0312.03 (5350312.03)   00000 (  3.7%),6420,2975,3450
5350312.04,0312.04 (5350312.04)   00000 (  5.9%),5765,2695,3065
5350312.05,0312.05 (5350312.05)   00100 (  4.4%),3835,1735,2100
5350312.06,0312.06 (5350312.06)   00000 (  2.8%),3445,1555,1890
5350312.07,0312.07 (5350312.07)   00000 (  3.1%),3075,1445,1630
5350313.00,0313.00 (5350313.00)   00000 (  3.0%),5555,2675,2880
5350314.01,0314.01 (5350314.01)   00000 (  2.7%),5040,2420,2615
5350314.02,0314.02 (5350314.02)   00000 (  3.4%),4955,2380,2575
5350315.01,0315.01 (5350315.01)   00000 (  2.8%),3365,1665,1700
5350315.02,0315.02 (5350315.02)   00000 (  2.7%),3545,1710,1840
5350315.03,0315.03 (5350315.03)   00000 (  2.5%),5505,2660,2845
5350316.01,0316.01 (5350316.01)   00000 (  5.7%),3910,1845,2060
5350316.03,0316.03 (5350316.03)   00000 (  3.4%),5890,2815,3080
5350316.04,0316.04 (5350316.04)   00100 (  4.4%),4275,1940,2335
5350316.05,0316.05 (5350316.05)   00000 (  3.3%),3990,1910,2080
5350316.06,0316.06 (5350316.06)   00000 (  3.6%),3670,1625,2045
5350317.02,0317.02 (5350317.02)   00000 (  3.2%),7350,3230,4115
5350317.03,0317.03 (5350317.03)   00000 (  2.2%),3690,1825,1860
5350317.04,0317.04 (5350317.04)   00000 (  2.7%),6625,3070,3555
5350317.05,0317.05 (5350317.05)   00000 (  3.4%),2230,1060,1170
5350318.00,0318.00 (5350318.00)   00100 (  3.1%),8575,4040,4530
5350319.00,0319.00 (5350319.00)   00000 (  3.0%),4190,2090,2100
5350320.01,0320.01 (5350320.01)   00000 (  4.8%),5195,2350,2845
5350320.02,0320.02 (5350320.02)   00000 (  2.3%),5870,2750,3115
5350321.01,0321.01 (5350321.01)   00000 (  2.5%),3830,1870,1955
5350321.02,0321.02 (5350321.02)   00000 (  3.0%),4030,2000,2035
5350322.01,0322.01 (5350322.01)   00100 (  3.9%),4735,2145,2590
5350322.02,0322.02 (5350322.02)   01000 ( 11.5%),3500,1585,1920
5350323.01,0323.01 (5350323.01)   00000 (  2.4%),4290,1980,2310
5350323.02,0323.02 (5350323.02)   00000 (  6.5%),5365,2405,2960
5350324.01,0324.01 (5350324.01)   00000 (  3.4%),3500,1645,1850
5350324.02,0324.02 (5350324.02)   00000 (  2.5%),6125,2900,3220
5350324.03,0324.03 (5350324.03)   00000 (  3.0%),3860,1775,2085
5350324.05,0324.05 (5350324.05)   00000 (  2.6%),3390,1550,1835
5350324.06,0324.06 (5350324.06)   00000 (  2.0%),3560,1700,1860
5350330.00,0330.00 (5350330.00)   00000 (  3.4%),4285,2070,2215
5350331.01,0331.01 (5350331.01)   00000 (  4.4%),5625,2555,3075
5350331.03,0331.03 (5350331.03)   00000 (  2.1%),6160,3015,3145
5350331.04,0331.04 (5350331.04)   00000 (  5.1%),3210,1470,1740
5350332.00,0332.00 (5350332.00)   00000 (  4.7%),7350,3480,3875
5350333.00,0333.00 (5350333.00)   00000 (  2.1%),4695,2285,2410
5350334.00,0334.00 (5350334.00)   00000 (  3.1%),3500,1725,1775
5350335.00,0335.00 (5350335.00)   00000 (  2.8%),7740,3730,4015
5350336.00,0336.00 (5350336.00)   00000 (  3.1%),6770,3325,3445
5350337.01,0337.01 (5350337.01)   00100 (  4.2%),720,350,365
5350337.02,0337.02 (5350337.02)   00000 (  8.4%),2155,990,1165
5350338.00,0338.00 (5350338.00)   00000 (  4.5%),5955,2950,3010
5350339.00,0339.00 (5350339.00)   00000 (  3.2%),6685,3110,3580
5350340.00,0340.00 (5350340.00)   00000 (  2.9%),6770,3375,3395
5350341.02,0341.02 (5350341.02)   00100 (  7.1%),4380,2060,2320
5350341.03,0341.03 (5350341.03)   00000 (  3.5%),3435,1695,1740
5350341.04,0341.04 (5350341.04)   00000 (  3.1%),6030,2980,3050
5350342.00,0342.00 (5350342.00)   00000 (  3.5%),7565,3585,3980
5350343.00,0343.00 (5350343.00)   00000 (  4.8%),4220,2135,2085
5350344.01,0344.01 (5350344.01)   00000 (  3.1%),5185,2595,2590
5350344.02,0344.02 (5350344.02)   00000 (  4.2%),3365,1515,1855
5350345.00,0345.00 (5350345.00)   00000 (  2.7%),3940,1945,1990
5350346.01,0346.01 (5350346.01)   00000 (  2.9%),4630,2270,2365
5350346.02,0346.02 (5350346.02)   00000 (  2.9%),5385,2505,2880
5350347.00,0347.00 (5350347.00)   00000 (  5.8%),2835,1445,1385
5350348.00,0348.00 (5350348.00)   00000 (  5.2%),5605,2590,3010
5350349.00,0349.00 (5350349.00)   00000 (  3.4%),5720,2720,3000
5350350.00,0350.00 (5350350.00)   00000 (  2.6%),5420,2595,2825
5350351.01,0351.01 (5350351.01)   00000 (  2.9%),5500,2655,2845
5350351.02,0351.02 (5350351.02)   00000 (  4.0%),2755,1320,1440
5350352.00,0352.00 (5350352.00)   00100 (  4.1%),5310,2500,2810
5350353.02,0353.02 (5350353.02)   00000 (  2.4%),5305,2585,2725
5350353.03,0353.03 (5350353.03)   00000 (  2.8%),3105,1470,1640
5350353.04,0353.04 (5350353.04)   00000 (  2.7%),4510,2135,2375
5350354.00,0354.00 (5350354.00)   00000 (  3.3%),5400,2665,2740
5350355.02,0355.02 (5350355.02)   00000 (  2.4%),5215,2440,2780
5350355.04,0355.04 (5350355.04)   00000 (  4.6%),5270,2420,2855
5350355.05,0355.05 (5350355.05)   00100 (  4.2%),3035,1430,1600
5350355.06,0355.06 (5350355.06)   00000 (  3.4%),1640,760,880
5350356.00,0356.00 (5350356.00)   00000 (  5.0%),4830,2345,2490
5350357.01,0357.01 (5350357.01)   00000 (  2.7%),7120,3405,3720
5350357.02,0357.02 (5350357.02)   00000 (  3.1%),4940,2320,2625
5350358.01,0358.01 (5350358.01)   00000 (  2.7%),3395,1685,1715
5350358.02,0358.02 (5350358.02)   00000 (  4.3%),4735,2165,2570
5350358.03,0358.03 (5350358.03)   00000 (  5.0%),5595,2725,2875
5350359.00,0359.00 (5350359.00)   00000 (  4.3%),7555,3525,4035
5350360.00,0360.00 (5350360.00)   00000 (  3.5%),6105,2975,3130
5350361.01,0361.01 (5350361.01)   00000 (  3.1%),5810,2845,2960
5350361.02,0361.02 (5350361.02)   00000 (  1.7%),7555,3640,3915
5350362.01,0362.01 (5350362.01)   00000 (  3.1%),6300,2970,3330
5350362.02,0362.02 (5350362.02)   00000 (  2.6%),5625,2795,2830
5350362.03,0362.03 (5350362.03)   00000 (  2.6%),6870,3405,3460
5350362.04,0362.04 (5350362.04)   00000 (  4.9%),5020,2360,2655
5350363.02,0363.02 (5350363.02)   00000 (  2.8%),3255,1560,1690
5350363.04,0363.04 (5350363.04)   00000 (  2.6%),3670,1820,1855
5350363.05,0363.05 (5350363.05)   00100 (  3.3%),4540,2180,2355
5350363.06,0363.06 (5350363.06)   00000 (  3.7%),7305,3440,3875
5350363.07,0363.07 (5350363.07)   00100 (  5.0%),5335,2655,2680
5350364.01,0364.01 (5350364.01)   00000 (  5.5%),5995,2895,3100
5350364.02,0364.02 (5350364.02)   00000 (  5.9%),3050,1490,1560
5350365.00,0365.00 (5350365.00)   00000 (  2.5%),6495,3210,3285
5350366.00,0366.00 (5350366.00)   00000 (  2.8%),6135,2950,3185
5350367.01,0367.01 (5350367.01)   00000 (  2.5%),4710,2405,2305
5350367.02,0367.02 (5350367.02)   00000 (  1.8%),3545,1755,1790
5350368.01,0368.01 (5350368.01)   00100 (  3.7%),6845,3075,3770
5350368.02,0368.02 (5350368.02)   00000 (  5.2%),4315,2085,2230
5350369.00,0369.00 (5350369.00)   00000 (  2.0%),8100,4000,4095
5350370.01,0370.01 (5350370.01)   00000 (  3.8%),9975,4570,5400
5350370.02,0370.02 (5350370.02)   00000 (  4.7%),5580,2665,2915
5350370.03,0370.03 (5350370.03)   00000 (  2.3%),4135,1990,2150
5350371.00,0371.00 (5350371.00)   00000 (  5.5%),7625,3730,3890
5350372.00,0372.00 (5350372.00)   00000 (  2.6%),4350,2105,2240
5350373.00,0373.00 (5350373.00)   00000 (  3.3%),4805,2425,2385
5350374.01,0374.01 (5350374.01)   00000 (  2.2%),4850,2330,2515
5350374.02,0374.02 (5350374.02)   00000 (  2.2%),3215,1540,1675
5350374.03,0374.03 (5350374.03)   00000 (  2.4%),4185,1960,2225
5350375.01,0375.01 (5350375.01)   00000 (  3.1%),6320,2800,3525
5350375.02,0375.02 (5350375.02)   00000 (  1.4%),1960,925,1035
5350375.03,0375.03 (5350375.03)   00000 (  3.1%),5315,2540,2780
5350375.04,0375.04 (5350375.04)   00000 (  1.3%),5300,2555,2745
5350375.05,0375.05 (5350375.05)   00000 (  5.0%),7210,3335,3875
5350376.01,0376.01 (5350376.01)   00000 (  2.6%),5095,2370,2725
5350376.02,0376.02 (5350376.02)   00000 (  2.1%),5175,2525,2655
5350376.04,0376.04 (5350376.04)   00000 (  6.3%),5460,2590,2865
5350376.05,0376.05 (5350376.05)   00000 (  1.9%),6860,3330,3525
5350376.06,0376.06 (5350376.06)   02000 ( 23.0%),485,155,330
5350376.08,0376.08 (5350376.08)   00000 (  2.3%),6155,2905,3255
5350376.09,0376.09 (5350376.09)   00000 (  2.0%),4640,2170,2465
5350376.11,0376.11 (5350376.11)   00000 (  2.0%),3415,1685,1735
5350376.12,0376.12 (5350376.12)   00000 (  2.2%),5320,2445,2875
5350376.13,0376.13 (5350376.13)   00000 (  2.4%),3905,1810,2090
5350376.14,0376.14 (5350376.14)   00000 (  1.9%),3765,1830,1935
5350376.15,0376.15 (5350376.15)   00000 (  2.5%),3695,1655,2040
5350376.16,0376.16 (5350376.16)   00000 (  7.8%),4225,1805,2420
5350377.01,0377.01 (5350377.01)   00000 (  2.9%),8995,4440,4560
5350377.02,0377.02 (5350377.02)   00000 (  1.9%),4405,2110,2290
5350377.03,0377.03 (5350377.03)   00000 (  1.9%),2815,1390,1425
5350377.04,0377.04 (5350377.04)   00000 (  1.7%),5940,2880,3065
5350377.06,0377.06 (5350377.06)   00000 (  1.3%),3810,1905,1905
5350377.07,0377.07 (5350377.07)   00000 (  4.7%),4860,2330,2525
5350378.02,0378.02 (5350378.02)   00000 (  2.0%),3260,1670,1590
5350378.03,0378.03 (5350378.03)   00000 (  2.3%),7360,3530,3830
5350378.04,0378.04 (5350378.04)   00000 (  2.7%),6150,3035,3115
5350378.05,0378.05 (5350378.05)   00000 (  2.2%),3905,1805,2100
5350378.06,0378.06 (5350378.06)   00000 (  2.3%),6065,2930,3135
5350378.07,0378.07 (5350378.07)   00000 (  4.3%),7095,3385,3720
5350378.08,0378.08 (5350378.08)   00000 (  1.8%),6260,3000,3260
5350378.11,0378.11 (5350378.11)   00000 (  2.7%),5695,2810,2880
5350378.12,0378.12 (5350378.12)   00000 (  3.1%),5180,2370,2815
5350378.14,0378.14 (5350378.14)   00000 (  2.6%),3895,1890,2005
5350378.16,0378.16 (5350378.16)   00000 (  2.5%),6105,2985,3120
5350378.17,0378.17 (5350378.17)   00000 (  1.9%),3335,1540,1795
5350378.18,0378.18 (5350378.18)   00000 (  2.4%),2765,1280,1485
5350378.19,0378.19 (5350378.19)   00000 (  2.2%),5165,2555,2610
5350378.20,0378.20 (5350378.20)   00000 (  2.5%),2095,965,1135
5350378.21,0378.21 (5350378.21)   00000 (  1.6%),3950,1935,2010
5350378.22,0378.22 (5350378.22)   00000 (  1.4%),3455,1730,1725
5350378.23,0378.23 (5350378.23)   00000 (  2.3%),4090,1960,2130
5350378.24,0378.24 (5350378.24)   00000 (  5.0%),6110,2790,3320
5350378.25,0378.25 (5350378.25)   00000 (  1.6%),7930,3900,4030
5350378.26,0378.26 (5350378.26)   00000 (  1.9%),4760,2335,2430
5350378.27,0378.27 (5350378.27)   00000 (  1.9%),5800,2780,3025
5350378.28,0378.28 (5350378.28)   00000 (  2.0%),7175,3470,3705
5350400.02,0400.02 (5350400.02)   00000 (  1.7%),5910,2980,2935
5350400.03,0400.03 (5350400.03)   00000 (  2.0%),2965,1465,1500
5350400.04,0400.04 (5350400.04)   00000 (  2.0%),1960,945,1015
5350400.06,0400.06 (5350400.06)   00000 (  2.6%),3060,1525,1540
5350400.07,0400.07 (5350400.07)   00000 (  4.0%),3315,1630,1685
5350400.08,0400.08 (5350400.08)   00000 (  2.6%),2845,1290,1550
5350400.11,0400.11 (5350400.11)   00000 (  1.5%),6260,3090,3175
5350400.12,0400.12 (5350400.12)   00000 (  1.7%),6830,3385,3445
5350400.13,0400.13 (5350400.13)   00000 (  2.0%),6680,3325,3350
5350400.14,0400.14 (5350400.14)   00000 (  1.7%),6120,3085,3030
5350400.15,0400.15 (5350400.15)   00000 (  2.1%),4630,2275,2355
5350400.16,0400.16 (5350400.16)   00000 (  1.1%),5390,2685,2700
5350400.17,0400.17 (5350400.17)   00000 (  2.2%),4680,2350,2330
5350400.18,0400.18 (5350400.18)   00000 (  1.6%),2505,1240,1265
5350400.19,0400.19 (5350400.19)   00000 (  4.0%),10045,4750,5300
5350400.20,0400.20 (5350400.20)   00000 (  1.5%),4250,2040,2205
5350400.21,0400.21 (5350400.21)   00000 (  1.6%),2100,1030,1070
5350400.22,0400.22 (5350400.22)   00000 (  1.5%),9625,4705,4915
5350400.23,0400.23 (5350400.23)   00000 (  1.6%),8560,4265,4295
5350401.04,0401.04 (5350401.04)   00000 (  2.0%),3305,1640,1665
5350401.05,0401.05 (5350401.05)   00000 (  4.3%),2425,1150,1275
5350401.06,0401.06 (5350401.06)   00000 (  1.9%),4895,2460,2435
5350401.07,0401.07 (5350401.07)   00000 (  3.8%),4110,1920,2190
5350401.08,0401.08 (5350401.08)   00000 (  1.6%),3345,1655,1690
5350401.09,0401.09 (5350401.09)   00000 (  2.0%),8405,4045,4360
5350401.10,0401.10 (5350401.10)   00000 (  1.6%),4725,2290,2435
5350401.11,0401.11 (5350401.11)   00000 (  1.9%),6785,3370,3415
5350401.13,0401.13 (5350401.13)   00000 (  1.8%),6440,3200,3240
5350401.14,0401.14 (5350401.14)   00000 (  1.7%),7820,3840,3980
5350401.15,0401.15 (5350401.15)   00000 (  1.9%),2760,1300,1455
5350401.17,0401.17 (5350401.17)   00000 (  2.5%),3510,1715,1790
5350401.18,0401.18 (5350401.18)   00000 (  3.4%),6140,2925,3220
5350401.19,0401.19 (5350401.19)   00000 (  1.8%),6825,3325,3495
5350401.20,0401.20 (5350401.20)   00000 (  1.5%),4455,2210,2245
5350401.21,0401.21 (5350401.21)   00000 (  1.6%),2920,1385,1535
5350401.22,0401.22 (5350401.22)   00000 (  2.4%),8580,4030,4550
5350401.23,0401.23 (5350401.23)   00000 (  1.7%),1945,945,1000
5350402.01,0402.01 (5350402.01)   00000 (  2.3%),2465,1215,1250
5350402.02,0402.02 (5350402.02)   00000 (  3.5%),5455,2675,2780
5350402.03,0402.03 (5350402.03)   00000 (  5.5%),3180,1410,1765
5350402.04,0402.04 (5350402.04)   00000 (  2.2%),5060,2445,2610
5350402.05,0402.05 (5350402.05)   00000 (  2.0%),2005,965,1035
5350402.06,0402.06 (5350402.06)   00000 (  2.6%),6035,2875,3155
5350402.07,0402.07 (5350402.07)   00000 (  1.2%),2055,1025,1030
5350402.08,0402.08 (5350402.08)   00000 (  2.4%),6190,3030,3160
5350402.09,0402.09 (5350402.09)   00000 (  1.9%),3700,1745,1955
5350402.10,0402.10 (5350402.10)   00000 (  2.3%),3630,1720,1915
5350402.12,0402.12 (5350402.12)   00000 (  3.7%),5935,2760,3175
5350402.13,0402.13 (5350402.13)   00000 (  1.7%),4965,2480,2485
5350403.01,0403.01 (5350403.01)   00000 (  2.0%),7585,3650,3935
5350403.04,0403.04 (5350403.04)   00000 (  1.4%),4330,2085,2240
5350403.05,0403.05 (5350403.05)   00000 (  2.3%),4155,2040,2115
5350403.07,0403.07 (5350403.07)   00000 (  1.9%),12000,5855,6145
5350403.09,0403.09 (5350403.09)   00000 (  1.8%),5010,2435,2580
5350403.10,0403.10 (5350403.10)   00000 (  1.5%),5605,2770,2840
5350403.11,0403.11 (5350403.11)   00000 (  1.7%),10620,5185,5430
5350403.12,0403.12 (5350403.12)   00000 (  1.7%),9490,4630,4865
5350403.13,0403.13 (5350403.13)   00000 (  1.9%),6335,2955,3375
5350403.14,0403.14 (5350403.14)   00000 (  2.0%),10120,4920,5200
5350403.15,0403.15 (5350403.15)   00000 (  2.2%),11855,5825,6030
5350403.16,0403.16 (5350403.16)   00000 (  2.0%),4090,2020,2070
5350410.02,0410.02 (5350410.02)   00000 (  1.9%),4400,2100,2295
5350410.03,0410.03 (5350410.03)   00000 (  2.3%),7180,3475,3705
5350410.04,0410.04 (5350410.04)   00000 (  1.0%),3755,1825,1930
5350410.05,0410.05 (5350410.05)   00000 (  1.4%),6240,3105,3135
5350410.07,0410.07 (5350410.07)   00000 (  2.2%),3655,1815,1840
5350410.09,0410.09 (5350410.09)   00000 (  3.1%),5355,2395,2960
5350410.10,0410.10 (5350410.10)   00000 (  2.5%),3960,1825,2135
5350410.11,0410.11 (5350410.11)   00000 (  1.8%),4205,2055,2155
5350410.12,0410.12 (5350410.12)   00000 (  4.6%),6625,2940,3690
5350410.13,0410.13 (5350410.13)   00000 (  1.5%),6905,3405,3505
5350410.14,0410.14 (5350410.14)   00000 (  1.9%),6010,2940,3075
5350410.15,0410.15 (5350410.15)   00000 (  1.4%),1825,890,935
5350411.01,0411.01 (5350411.01)   00000 (  3.0%),5505,2620,2885
5350411.04,0411.04 (5350411.04)   00000 (  2.1%),5600,2725,2870
5350411.07,0411.07 (5350411.07)   00000 (  1.8%),4295,2125,2170
5350411.08,0411.08 (5350411.08)   00000 (  4.2%),2420,1205,1215
5350411.09,0411.09 (5350411.09)   00000 (  1.4%),6335,3105,3230
5350411.12,0411.12 (5350411.12)   00000 (  1.5%),5590,2730,2855
5350411.15,0411.15 (5350411.15)   00000 (  2.4%),4240,2070,2170
5350411.16,0411.16 (5350411.16)   00000 (  4.5%),6415,3135,3280
5350411.17,0411.17 (5350411.17)   00000 (  1.9%),7445,3610,3835
5350411.18,0411.18 (5350411.18)   00000 (  1.9%),11135,5440,5695
5350411.19,0411.19 (5350411.19)   00000 (  2.1%),8655,4225,4430
5350411.21,0411.21 (5350411.21)   00000 (  2.3%),2445,1185,1260
5350411.22,0411.22 (5350411.22)   00000 (  2.1%),5495,2690,2805
5350411.23,0411.23 (5350411.23)   00000 (  2.3%),4590,2160,2425
5350411.24,0411.24 (5350411.24)   00000 (  1.9%),7395,3660,3725
5350411.25,0411.25 (5350411.25)   00000 (  1.8%),3435,1690,1740
5350411.26,0411.26 (5350411.26)   00000 (  2.1%),5375,2640,2735
5350411.27,0411.27 (5350411.27)   00000 (  2.3%),4205,2035,2170
5350411.28,0411.28 (5350411.28)   00000 (  1.7%),5150,2495,2660
5350411.29,0411.29 (5350411.29)   00000 (  1.8%),5480,2655,2825
5350411.30,0411.30 (5350411.30)   00000 (  1.8%),7290,3600,3690
5350412.01,0412.01 (5350412.01)   00000 (  4.2%),6420,3080,3340
5350412.02,0412.02 (5350412.02)   00000 (  4.6%),8915,4180,4740
5350412.04,0412.04 (5350412.04)   00000 (  2.3%),4385,2160,2225
5350412.06,0412.06 (5350412.06)   00000 (  1.3%),3475,1745,1735
5350412.08,0412.08 (5350412.08)   00000 (  2.3%),2625,1265,1360
5350412.10,0412.10 (5350412.10)   00000 (  2.2%),5860,2910,2945
5350412.11,0412.11 (5350412.11)   00000 (  2.5%),4715,2385,2335
5350412.12,0412.12 (5350412.12)   00000 (  2.2%),4025,1910,2120
5350412.13,0412.13 (5350412.13)   00000 (  2.3%),4065,2020,2045
5350412.14,0412.14 (5350412.14)   00000 (  1.8%),3400,1680,1720
5350412.15,0412.15 (5350412.15)   00000 (  3.4%),5455,2660,2795
5350412.18,0412.18 (5350412.18)   00000 (  2.0%),7590,3745,3845
5350412.19,0412.19 (5350412.19)   00000 (  1.4%),9555,4670,4885
5350412.20,0412.20 (5350412.20)   00000 (  1.4%),5765,2850,2910
5350412.22,0412.22 (5350412.22)   00000 (  2.1%),8810,4340,4465
5350412.24,0412.24 (5350412.24)   00000 (  2.0%),8370,4120,4250
5350412.25,0412.25 (5350412.25)   00000 (  1.3%),5510,2705,2805
5350412.26,0412.26 (5350412.26)   00000 (  1.2%),6265,3065,3200
5350413.01,0413.01 (5350413.01)   00000 (  3.4%),9615,4675,4945
5350413.02,0413.02 (5350413.02)   00000 (  2.1%),12790,6320,6470
5350420.03,0420.03 (5350420.03)   00000 (  2.6%),6505,3205,3300
5350420.05,0420.05 (5350420.05)   00000 (  2.7%),7715,3705,4010
5350420.06,0420.06 (5350420.06)   00000 (  1.2%),5145,2485,2660
5350420.08,0420.08 (5350420.08)   00000 (  3.2%),4375,2080,2300
5350420.09,0420.09 (5350420.09)   00000 (  3.2%),4535,1995,2540
5350420.10,0420.10 (5350420.10)   00000 (  1.5%),3725,1815,1905
5350420.11,0420.11 (5350420.11)   00000 (  1.6%),6190,3050,3145
5350420.13,0420.13 (5350420.13)   00000 (  4.6%),5575,2600,2970
5350420.14,0420.14 (5350420.14)   00000 (  2.6%),7145,3380,3765
5350420.15,0420.15 (5350420.15)   00000 (  1.9%),2345,1155,1195
5350421.01,0421.01 (5350421.01)   00000 (  2.6%),6825,3355,3470
5350421.04,0421.04 (5350421.04)   00000 (  2.6%),3675,1735,1945
5350421.05,0421.05 (5350421.05)   00000 (  2.3%),3600,1790,1810
5350421.06,0421.06 (5350421.06)   00000 (  3.6%),3630,1690,1945
5350421.07,0421.07 (5350421.07)   00000 (  2.1%),4095,2055,2040
5350422.02,0422.02 (5350422.02)   00000 (  3.2%),5360,2660,2700
5350422.03,0422.03 (5350422.03)   00000 (  1.8%),6995,3410,3580
5350422.04,0422.04 (5350422.04)   00000 (  1.3%),3955,1940,2015
5350422.05,0422.05 (5350422.05)   00000 (  1.3%),7090,3455,3630
5350422.06,0422.06 (5350422.06)   00000 (  2.9%),5215,2460,2750
5350423.01,0423.01 (5350423.01)   00000 (  4.0%),3720,1785,1935
5350423.02,0423.02 (5350423.02)   00000 (  2.4%),7785,3835,3955
5350424.04,0424.04 (5350424.04)   00000 (  1.6%),2405,1215,1185
5350424.05,0424.05 (5350424.05)   00000 (  3.9%),9300,4345,4945
5350424.07,0424.07 (5350424.07)   00000 (  2.0%),8405,4155,4250
5350424.08,0424.08 (5350424.08)   00000 (  1.9%),7400,3600,3805
5350424.09,0424.09 (5350424.09)   00000 (  2.9%),3605,1790,1820
5350424.10,0424.10 (5350424.10)   00000 (  1.7%),6495,3230,3265
5350424.11,0424.11 (5350424.11)   00000 (  2.2%),8070,3965,4105
5350424.13,0424.13 (5350424.13)   00000 (  5.1%),2375,1170,1200
5350424.14,0424.14 (5350424.14)   00000 (  1.6%),13215,6570,6645
5350424.15,0424.15 (5350424.15)   00000 (  1.7%),9775,4765,5010
5350424.16,0424.16 (5350424.16)   00000 (  1.9%),8785,4315,4470
5350430.03,0430.03 (5350430.03)   00000 (  3.6%),5405,2635,2770
5350430.05,0430.05 (5350430.05)   00000 (  2.0%),7265,3580,3685
5350430.06,0430.06 (5350430.06)   00000 (  1.7%),6760,3290,3470
5350430.07,0430.07 (5350430.07)   00000 (  2.2%),7520,3685,3835
5350430.08,0430.08 (5350430.08)   00000 (  3.1%),6075,2870,3200
5350431.01,0431.01 (5350431.01)   00000 (  3.7%),6385,3140,3240
5350431.02,0431.02 (5350431.02)   00000 (  2.4%),6435,3235,3205
5350440.00,0440.00 (5350440.00)   00000 (  2.7%),7105,3400,3705
5350441.02,0441.02 (5350441.02)   00000 (  5.6%),4495,2055,2440
5350441.03,0441.03 (5350441.03)   00000 (  1.9%),7295,3590,3705
5350441.04,0441.04 (5350441.04)   00000 (  1.8%),5610,2800,2810
5350442.02,0442.02 (5350442.02)   00000 (  2.9%),4060,1940,2115
5350442.03,0442.03 (5350442.03)   00000 (  2.3%),5275,2635,2640
5350442.04,0442.04 (5350442.04)   00000 (  2.5%),3670,1815,1850
5350442.05,0442.05 (5350442.05)   00000 (  2.8%),7375,3490,3885
5350442.06,0442.06 (5350442.06)   00000 (  1.9%),10560,5215,5345
5350450.02,0450.02 (5350450.02)   00000 (  9.2%),3210,1460,1750
5350450.03,0450.03 (5350450.03)   00000 (  4.5%),8475,3970,4500
5350450.05,0450.05 (5350450.05)   00000 (  1.8%),5910,2860,3045
5350450.06,0450.06 (5350450.06)   00000 (  1.8%),7845,3835,4005
5350451.01,0451.01 (5350451.01)   00000 (  3.8%),2280,1055,1225
5350451.02,0451.02 (5350451.02)   00000 (  4.2%),4930,2260,2670
