CTUID,Geography,Total - Sex,  Male,  Female
5350575.05,0575.05 (5350575.05)   00000 (  2.3%),6930,3325,3605
5350575.07,0575.07 (5350575.07)   00000 (  1.7%),4075,2050,2025
5350575.08,0575.08 (5350575.08)   00000 (  1.9%),5565,2790,2770
5350576.04,0576.04 (5350576.04)   00000 (  1.8%),4400,2190,2210
5350576.05,0576.05 (5350576.05)   00000 (  3.5%),7020,3450,3570
5350576.06,0576.06 (5350576.06)   00000 (  2.5%),7300,3575,3725
5350576.07,0576.07 (5350576.07)   00000 (  2.2%),4575,2315,2260
5350576.09,0576.09 (5350576.09)   00000 (  2.1%),3780,1840,1940
5350576.10,0576.10 (5350576.10)   00000 (  2.6%),12450,6040,6410
5350576.16,0576.16 (5350576.16)   00000 (  1.9%),6465,3200,3270
5350576.17,0576.17 (5350576.17)   00000 (  2.2%),6765,3335,3435
5350576.20,0576.20 (5350576.20)   00000 (  2.9%),6825,3285,3540
5350576.22,0576.22 (5350576.22)   00000 (  2.1%),7400,3750,3655
5350576.24,0576.24 (5350576.24)   00000 (  2.0%),10435,5255,5180
5350576.29,0576.29 (5350576.29)   00000 (  2.0%),4135,2020,2115
5350576.31,0576.31 (5350576.31)   00000 (  1.7%),3785,1880,1905
5350576.32,0576.32 (5350576.32)   00000 (  1.8%),9555,4710,4850
5350576.33,0576.33 (5350576.33)   00000 (  2.5%),2515,1245,1275
5350576.34,0576.34 (5350576.34)   00000 (  2.1%),6070,3030,3035
5350576.40,0576.40 (5350576.40)   00000 (  2.1%),7970,3985,3985
5350576.41,0576.41 (5350576.41)   00000 (  1.8%),8200,4040,4155
5350576.42,0576.42 (5350576.42)   00000 (  2.0%),12430,6065,6365
5350576.43,0576.43 (5350576.43)   00000 (  1.9%),6460,3150,3315
5350576.44,0576.44 (5350576.44)   00000 (  2.1%),2780,1335,1455
5350576.45,0576.45 (5350576.45)   00000 (  1.7%),2930,1445,1485
5350576.46,0576.46 (5350576.46)   00000 (  2.1%),5320,2680,2635
5350576.47,0576.47 (5350576.47)   00000 (  2.5%),4065,2035,2035
5350576.49,0576.49 (5350576.49)   00000 (  2.1%),6040,2940,3100
5350576.50,0576.50 (5350576.50)   00000 (  1.5%),6735,3340,3390
5350576.52,0576.52 (5350576.52)   00000 (  1.8%),5870,2905,2965
5350576.53,0576.53 (5350576.53)   00000 (  1.7%),4440,2220,2220
5350576.54,0576.54 (5350576.54)   00000 (  2.0%),4680,2325,2355
5350576.55,0576.55 (5350576.55)   00000 (  3.0%),6800,3420,3380
