CTUID,Total income,  Market income,    Employment income,"      Wages, salaries and commissions",      Net self-employment income,    Investment income,    Private retirement income,    Market income not included elsewhere,  Government transfers,    Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),      Old Age Security pension (OAS),      Guaranteed Income Supplement (GIS) and spousal allowance,    Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,      CPP/QPP - Retirement benefits,      CPP/QPP - Disability benefits,      CPP/QPP - Survivor benefits,    Employment Insurance (EI) benefits,      EI - Regular benefits,      EI - Other benefits,    Child benefits,      Basic Canada Child Tax Benefit (CCTB),      National Child Benefit Supplement (NCBS),      Universal Child Care Benefit (UCCB),      Provincial and territorial child benefits,    Other government transfers,      Social assistance benefits,      Workers' compensation benefits,      Working income tax benefit (WITB),      Goods and services tax (GST) credit and harmonized sales tax (HST) credit,      Government transfers not included elsewhere,  After-tax income,  Income taxes,    Net federal tax,    Provincial and territorial income taxes
5350472.00,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915
5350473.01,5180,5175,5180,5180,5180,5180,5180,5180,5175,5180,5180,5180,5175,5180,5180,5180,5180,5180,5175,5180,5180,5180,5180,5180,5180,5180,5180,5175,5175,5180,5180,5180,5180,5180
5350473.02,5720,5720,5725,5725,5720,5720,5720,5720,5720,5720,5720,5720,5720,5720,5720,5725,5725,5720,5720,5720,5720,5720,5720,5720,5720,5720,5720,5720,5720,5720,5720,5725,5720,5720
5350473.03,3170,3170,3165,3165,3170,3170,3170,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3170,3165,3165,3165,3165,3165,3165,3165,3170,3165
5350474.00,4715,4715,4715,4710,4710,4715,4715,4710,4715,4710,4715,4710,4710,4715,4710,4715,4715,4710,4710,4715,4710,4715,4710,4710,4710,4715,4715,4710,4710,4715,4710,4710,4710,4710
5350475.00,5560,5555,5560,5560,5560,5555,5555,5560,5560,5560,5560,5555,5555,5560,5560,5560,5555,5555,5560,5560,5560,5555,5555,5555,5555,5560,5560,5560,5555,5555,5560,5560,5560,5560
5350476.01,215,215,215,215,210,215,215,215,215,215,215,215,215,215,215,215,215,215,210,210,215,215,210,215,215,215,210,215,215,215,215,215,215,210
5350476.02,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890
5350480.01,3485,3485,3485,3485,3485,3485,3485,3485,3485,3480,3480,3485,3485,3485,3485,3485,3485,3485,3485,3485,3485,3480,3485,3485,3485,3485,3485,3485,3485,3485,3485,3485,3485,3485
5350480.02,8220,8225,8220,8220,8220,8220,8220,8225,8220,8225,8220,8220,8225,8220,8225,8225,8220,8225,8225,8220,8225,8225,8225,8225,8225,8225,8225,8225,8220,8225,8225,8220,8220,8225
5350481.01,6445,6440,6440,6445,6445,6440,6440,6445,6445,6445,6445,6440,6445,6445,6445,6445,6445,6445,6445,6440,6445,6445,6445,6445,6440,6445,6440,6445,6445,6445,6445,6445,6445,6440
5350481.02,3575,3575,3575,3575,3575,3575,3575,3580,3575,3575,3575,3575,3580,3575,3575,3575,3580,3580,3575,3580,3580,3575,3575,3575,3575,3575,3575,3575,3575,3575,3580,3575,3575,3580
5350482.00,6010,6010,6015,6010,6010,6010,6015,6010,6010,6010,6015,6010,6010,6010,6010,6015,6010,6010,6015,6010,6015,6010,6010,6015,6010,6015,6010,6010,6010,6010,6010,6010,6010,6010
5350483.01,3930,3930,3930,3925,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3925,3930,3930,3930,3930,3930,3930,3925,3930,3925,3930,3930,3930,3930,3925
5350483.02,2765,2760,2760,2765,2765,2765,2760,2760,2765,2765,2765,2765,2765,2765,2760,2765,2765,2765,2765,2765,2760,2765,2765,2760,2760,2760,2765,2765,2760,2765,2765,2765,2760,2760
5350484.02,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945
5350484.03,3650,3650,3645,3650,3650,3650,3650,3650,3650,3650,3650,3645,3645,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3645,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650
