CTUID,Geography,Total - Family characteristics of adults (restricted to persons aged 15 and over),  Adults living in census families,    Married spouses and common-law partners,      Without children in their census family,      With children in their census family,    Lone parents (in lone-parent census families),"    Children in census families (as in sons, daughters or grandchildren)",  Adults not living in census families,    Living with other relatives,    Living with non-relatives only,    Living alone
5350518.00,0518.00 (5350518.00)   00000 (  2.6%),3540,2795,1730,630,1100,290,785,745,115,225,405
5350519.00,0519.00 (5350519.00)   00000 (  2.2%),3200,2715,1740,600,1145,215,755,485,120,165,205
5350520.01,0520.01 (5350520.01)   00000 (  2.0%),4565,3990,2495,790,1705,295,1195,575,190,210,175
5350520.02,0520.02 (5350520.02)   00000 (  2.2%),6075,5210,3365,1170,2195,320,1525,865,250,220,395
5350520.05,0520.05 (5350520.05)   00000 (  2.1%),3060,2585,1585,540,1040,240,760,475,120,110,250
5350520.07,0520.07 (5350520.07)   00000 (  2.8%),4000,3170,2180,625,1555,290,700,830,130,135,565
5350520.08,0520.08 (5350520.08)   00000 (  2.6%),5360,4440,2920,990,1925,320,1200,920,180,170,575
5350520.09,0520.09 (5350520.09)   00000 (  2.9%),5945,4235,3150,1450,1705,315,775,1705,180,275,1250
5350520.10,0520.10 (5350520.10)   00000 (  2.8%),8020,6015,4260,1805,2455,465,1295,2005,270,400,1340
5350521.01,0521.01 (5350521.01)   00000 (  2.4%),4790,3785,2560,1090,1475,315,905,1005,175,170,665
5350521.02,0521.02 (5350521.02)   00000 (  1.6%),2970,2615,1780,715,1070,175,665,350,120,80,150
5350521.03,0521.03 (5350521.03)   00000 (  2.2%),4215,3625,2140,640,1500,310,1175,590,185,185,220
5350521.04,0521.04 (5350521.04)   00000 (  3.4%),5305,4495,2940,1140,1800,390,1165,810,175,170,470
5350521.05,0521.05 (5350521.05)   00000 (  2.3%),3585,2695,1745,735,1010,280,670,895,115,190,580
5350521.06,0521.06 (5350521.06)   00000 (  2.5%),4665,3490,2495,1155,1340,280,715,1175,135,155,880
5350522.00,0522.00 (5350522.00)   00000 (  2.2%),5120,4340,2910,1285,1625,345,1080,785,190,145,450
5350523.00,0523.00 (5350523.00)   00000 (  2.6%),5150,4000,2650,1150,1495,395,960,1150,180,190,775
5350524.01,0524.01 (5350524.01)   00000 (  3.0%),3910,3275,2110,765,1350,275,890,630,165,125,340
5350524.02,0524.02 (5350524.02)   00000 (  2.7%),3115,2370,1650,810,840,200,520,745,100,145,500
5350525.01,0525.01 (5350525.01)   00000 (  2.5%),2785,2395,1450,500,955,245,700,390,90,120,180
5350525.02,0525.02 (5350525.02)   00000 (  3.0%),3720,2945,2025,855,1170,240,680,775,105,125,550
5350526.01,0526.01 (5350526.01)   00000 (  3.1%),4830,4110,2525,690,1835,390,1195,715,175,185,355
5350526.02,0526.02 (5350526.02)   00000 (  2.7%),2820,2375,1605,575,1030,195,580,445,85,75,285
5350527.01,0527.01 (5350527.01)   00000 (  3.3%),9180,6630,4855,2445,2410,445,1330,2555,260,590,1705
5350527.02,0527.02 (5350527.02)   00000 (  3.8%),4285,3720,2530,1085,1445,215,970,565,150,70,345
5350527.03,0527.03 (5350527.03)   00000 (  3.6%),7345,5670,3930,1765,2165,435,1305,1670,290,405,975
5350527.04,0527.04 (5350527.04)   00000 (  1.9%),4970,4310,2865,1140,1725,295,1150,665,150,120,395
5350527.05,0527.05 (5350527.05)   00000 (  3.2%),4840,4225,2875,1290,1580,270,1080,615,145,70,400
5350527.06,0527.06 (5350527.06)   00000 (  5.8%),3275,2950,1845,655,1190,220,880,325,120,70,135
5350527.07,0527.07 (5350527.07)   00000 (  2.3%),4055,3565,2215,850,1365,350,1000,495,140,110,240
5350527.08,0527.08 (5350527.08)   00000 (  1.6%),3680,3255,2085,725,1365,175,985,430,130,155,140
5350527.09,0527.09 (5350527.09)   00000 (  1.5%),2920,2600,1650,645,1005,205,750,320,95,100,120
5350528.01,0528.01 (5350528.01)   00000 (  1.6%),4880,4410,2795,900,1895,235,1380,470,170,95,200
5350528.02,0528.02 (5350528.02)   00000 (  1.4%),6485,5870,3645,1015,2630,300,1925,615,265,105,245
5350528.10,0528.10 (5350528.10)   00000 (  1.8%),7410,6635,4245,1250,2995,345,2050,770,310,260,195
5350528.11,0528.11 (5350528.11)   00000 (  2.4%),4890,3750,2650,1470,1185,300,795,1140,155,120,860
5350528.12,0528.12 (5350528.12)   00000 (  1.8%),4930,4480,2800,810,1990,215,1465,450,215,135,100
5350528.13,0528.13 (5350528.13)   00000 (  3.1%),2895,2695,1765,535,1225,95,835,200,85,45,65
5350528.15,0528.15 (5350528.15)   00000 (  2.3%),3780,3475,2040,510,1530,210,1230,300,155,80,70
5350528.16,0528.16 (5350528.16)   00000 (  1.5%),4390,4030,2410,530,1885,200,1425,355,140,100,110
5350528.18,0528.18 (5350528.18)   00000 (  1.9%),5735,5215,3290,935,2355,285,1640,515,240,145,135
5350528.19,0528.19 (5350528.19)   00000 (  1.8%),4595,4030,2620,865,1750,230,1185,560,250,155,160
5350528.20,0528.20 (5350528.20)   00000 (  2.4%),5025,4410,2970,1170,1790,245,1205,615,230,170,215
5350528.21,0528.21 (5350528.21)   00000 (  3.5%),3425,2735,1670,620,1055,280,780,690,140,220,335
5350528.22,0528.22 (5350528.22)   00000 (  2.1%),5340,4430,2960,940,2025,285,1180,910,320,440,155
5350528.24,0528.24 (5350528.24)   00000 (  2.1%),4585,4150,2605,875,1735,210,1335,435,195,100,140
5350528.25,0528.25 (5350528.25)   00000 (  3.8%),6305,5360,3310,1035,2275,440,1615,940,290,225,430
5350528.26,0528.26 (5350528.26)   00000 (  2.7%),4445,3575,2105,825,1275,455,1020,875,140,165,565
5350528.31,0528.31 (5350528.31)   00000 (  4.9%),5105,3835,2445,850,1590,310,1080,1265,270,500,500
5350528.32,0528.32 (5350528.32)   00000 (  1.7%),3500,3260,2030,475,1555,135,1095,240,120,75,40
5350528.33,0528.33 (5350528.33)   00000 (  1.9%),5475,5075,3225,855,2365,200,1655,400,210,85,105
5350528.34,0528.34 (5350528.34)   00000 (  2.2%),5040,4480,2820,775,2045,275,1385,555,185,115,255
5350528.35,0528.35 (5350528.35)   00000 (  2.8%),2565,2340,1530,430,1095,130,685,225,105,45,75
5350528.36,0528.36 (5350528.36)   00000 (  1.7%),6600,5560,3900,1160,2735,235,1425,1040,380,530,130
5350528.37,0528.37 (5350528.37)   00000 (  2.0%),6595,6020,4300,1155,3145,230,1495,570,285,150,135
5350528.39,0528.39 (5350528.39)   00000 (  1.7%),5330,4955,3405,745,2665,215,1330,375,180,50,150
5350528.40,0528.40 (5350528.40)   00000 (  1.8%),4865,4500,3010,665,2345,200,1285,360,195,65,105
5350528.41,0528.41 (5350528.41)   00000 (  3.1%),6215,5620,3540,850,2690,350,1725,600,275,165,160
5350528.42,0528.42 (5350528.42)   00000 (  2.9%),4325,3950,2490,500,1990,170,1285,375,210,110,55
5350528.43,0528.43 (5350528.43)   00000 (  1.4%),4065,3605,2365,610,1755,175,1070,460,150,95,215
5350528.44,0528.44 (5350528.44)   00000 (  2.6%),1805,1655,1060,325,730,85,510,150,80,25,45
5350528.45,0528.45 (5350528.45)   00000 (  2.3%),4540,4050,2365,690,1675,470,1210,495,175,90,225
5350528.46,0528.46 (5350528.46)   00000 (  1.8%),5605,5220,3315,740,2575,265,1645,385,205,95,85
