CTUID,Geography,Total  Highest certificate diploma or degree,  No certificate diploma or degree,  Secondary (high) school diploma or equivalency certificate,  Apprenticeship or trades certificate or diploma,  College CEGEP or other nonuniversity certificate or diploma,  University certificate or diploma below bachelor level,  University certificate diploma or degree at bachelor level or above,    Bachelor's degree,    University certificate diploma or degree above bachelor level
5350282,0282.00 (5350282.00)   00001 (  7.7%),3795,935,1145,300,720,90,605,475,130
5350283.01,0283.01 (5350283.01)   00011 ( 10.4%),4105,1275,1260,320,735,115,400,280,120
5350283.02,0283.02 (5350283.02)   00001 (  9.0%),3715,1275,1160,260,550,70,395,300,95
5350284,0284.00 (5350284.00)   00000 (  5.5%),5550,1485,1665,350,745,205,1110,905,205
5350285,0285.00 (5350285.00)   00001 (  7.9%),2815,920,710,185,460,75,475,410,60
5350286,0286.00 (5350286.00)   00000 (  4.2%),3595,890,1005,205,570,85,835,595,240
5350287.02,0287.02 (5350287.02)   00000 (  6.8%),4940,725,1330,295,745,235,1605,1110,500
5350287.03,0287.03 (5350287.03)   00000 (  2.2%),2605,640,795,140,445,90,490,335,160
5350287.04,0287.04 (5350287.04)   00000 (  5.3%),3750,500,800,175,630,210,1445,865,575
5350288,0288.00 (5350288.00)   00000 (  6.9%),8220,965,2050,395,1395,305,3110,2235,870
5350289,0289.00 (5350289.00)   00000 (  4.8%),3835,1150,950,275,635,85,740,595,150
5350290.01,0290.01 (5350290.01)   00001 (  9.2%),3115,840,890,165,730,105,380,300,80
5350290.02,0290.02 (5350290.02)   00001 (  6.7%),1440,250,360,110,315,25,380,275,105
5350291.02,0291.02 (5350291.02)   00001 (  6.9%),4030,1270,1185,245,665,95,565,420,145
5350291.03,0291.03 (5350291.03)   00000 (  4.9%),2025,575,585,230,310,60,250,165,90
5350291.04,0291.04 (5350291.04)   00000 (  2.1%),1395,440,375,80,225,25,240,180,60
5350292,0292.00 (5350292.00)   00001 (  6.2%),5435,1630,1675,345,910,155,725,545,175
5350293,0293.00 (5350293.00)   00001 (  9.4%),5175,1275,1490,390,870,160,990,745,245
5350294.01,0294.01 (5350294.01)   00001 (  6.1%),3610,1130,1150,260,535,130,415,305,105
5350294.02,0294.02 (5350294.02)   00000 (  5.3%),3815,1265,1210,225,635,105,375,305,65
5350295,0295.00 (5350295.00)   00001 (  7.0%),4325,1285,1180,290,680,130,765,545,220
5350296,0296.00 (5350296.00)   00909 (  2.4%),70,20,20,10,10,0,20,10,0
5350297.01,0297.01 (5350297.01)   00000 (  4.2%),6185,705,1465,305,995,240,2475,1515,960
5350297.02,0297.02 (5350297.02)   00000 (  6.6%),5440,770,1205,230,920,140,2180,1255,920
5350298,0298.00 (5350298.00)   00000 (  3.9%),3760,370,780,105,500,115,1895,1085,810
5350299.01,0299.01 (5350299.01)   00000 (  5.6%),5025,465,1075,110,700,150,2520,1545,975
5350299.02,0299.02 (5350299.02)   00001 (  6.1%),4865,220,890,80,580,160,2935,1770,1165
5350300,0300.00 (5350300.00)   00001 (  5.3%),12170,510,2010,210,1530,285,7635,4680,2950
5350301.01,0301.01 (5350301.01)   00000 (  6.6%),2430,185,505,100,395,70,1175,675,500
5350301.03,0301.03 (5350301.03)   00101 (  6.0%),5610,505,1070,160,805,230,2845,1740,1100
5350301.04,0301.04 (5350301.04)   00101 (  5.1%),5165,525,1190,165,720,210,2350,1565,785
5350302.01,0302.01 (5350302.01)   00000 (  4.1%),5510,815,1340,225,895,150,2085,1440,645
5350302.02,0302.02 (5350302.02)   00001 (  4.9%),5280,1000,1400,280,815,200,1590,995,595
5350302.03,0302.03 (5350302.03)   00000 (  2.2%),2965,535,750,90,495,145,950,655,290
5350303,0303.00 (5350303.00)   00000 (  6.4%),4375,625,1125,95,790,170,1570,1015,560
5350304.01,0304.01 (5350304.01)   00000 (  4.9%),3715,550,885,135,635,175,1345,900,445
5350304.02,0304.02 (5350304.02)   00000 (  2.6%),3950,285,795,135,505,170,2060,1185,875
5350304.03,0304.03 (5350304.03)   00000 (  1.3%),2475,350,585,60,430,80,970,645,325
5350304.04,0304.04 (5350304.04)   00000 (  6.1%),3055,295,710,140,510,180,1225,745,475
5350304.05,0304.05 (5350304.05)   00000 (  5.4%),2625,290,690,90,315,80,1160,690,465
5350304.06,0304.06 (5350304.06)   00000 (  2.7%),5045,465,1010,150,890,195,2330,1475,860
5350305.01,0305.01 (5350305.01)   00000 (  4.0%),3865,235,750,60,550,130,2140,1150,990
5350305.03,0305.03 (5350305.03)   00000 (  4.7%),4335,355,885,75,605,220,2200,1315,880
5350305.04,0305.04 (5350305.04)   00100 (  4.0%),8050,365,1455,165,1310,275,4475,2955,1525
5350306.01,0306.01 (5350306.01)   00001 (  6.3%),3995,475,920,80,560,95,1870,1160,710
5350306.02,0306.02 (5350306.02)   00001 (  7.0%),4025,320,860,75,360,205,2200,1335,870
5350307.03,0307.03 (5350307.03)   00101 (  5.9%),4520,410,1010,100,540,145,2310,1320,985
5350307.04,0307.04 (5350307.04)   00001 (  5.5%),6240,390,1085,120,745,250,3660,2230,1435
5350307.05,0307.05 (5350307.05)   00101 (  5.9%),3265,180,610,55,435,120,1860,1270,590
5350307.06,0307.06 (5350307.06)   00001 (  4.1%),4630,345,785,35,465,165,2845,1735,1110
5350307.07,0307.07 (5350307.07)   00101 (  3.1%),5480,475,1305,145,595,230,2730,1705,1025
5350308.02,0308.02 (5350308.02)   00000 (  4.2%),3645,415,765,125,545,105,1685,1040,645
5350308.03,0308.03 (5350308.03)   00000 (  2.2%),920,100,190,25,135,35,440,260,185
5350308.04,0308.04 (5350308.04)   00001 (  8.1%),10290,890,2175,265,1250,315,5385,3400,1985
5350309,0309.00 (5350309.00)   00000 (  2.4%),5365,750,1300,280,1040,260,1740,1285,455
5350310.01,0310.01 (5350310.01)   00000 (  2.6%),2855,375,670,115,410,95,1185,685,495
5350310.02,0310.02 (5350310.02)   00000 (  4.2%),4230,595,1255,185,720,150,1330,870,460
5350311.02,0311.02 (5350311.02)   00000 (  5.2%),4865,1415,1395,375,805,105,770,560,205
5350311.03,0311.03 (5350311.03)   00000 (  4.5%),2365,690,805,135,360,40,340,265,75
5350311.04,0311.04 (5350311.04)   00000 (  7.1%),5520,1635,1500,425,930,150,875,665,210
5350311.05,0311.05 (5350311.05)   00101 (  5.0%),5585,1015,1570,230,975,235,1565,1050,515
5350311.06,0311.06 (5350311.06)   00101 (  8.8%),5195,370,1705,175,700,235,2010,1365,645
5350312.02,0312.02 (5350312.02)   00001 (  7.3%),2630,1000,750,110,425,50,290,230,60
5350312.03,0312.03 (5350312.03)   00000 (  5.2%),5125,1670,1650,355,900,110,435,345,95
5350312.04,0312.04 (5350312.04)   00000 (  4.0%),4360,2145,1175,190,475,75,295,220,75
5350312.05,0312.05 (5350312.05)   00101 (  5.7%),2975,1150,920,190,480,60,180,120,50
5350312.06,0312.06 (5350312.06)   00000 (  5.6%),2790,1175,805,155,370,30,255,205,50
5350312.07,0312.07 (5350312.07)   00000 (  5.8%),2740,1160,690,175,365,60,290,180,110
5350313,0313.00 (5350313.00)   00001 (  7.0%),4585,1315,1365,325,865,80,625,450,180
5350314.01,0314.01 (5350314.01)   00000 (  4.2%),3855,1210,1055,235,690,60,605,400,205
5350314.02,0314.02 (5350314.02)   00001 (  7.9%),4150,1105,1405,255,555,100,720,520,200
5350315.01,0315.01 (5350315.01)   00000 (  5.2%),2880,1000,775,225,430,70,380,275,100
5350315.02,0315.02 (5350315.02)   00000 (  3.0%),2860,1115,795,130,370,60,390,235,160
5350315.03,0315.03 (5350315.03)   00000 (  5.9%),4520,1380,1425,270,705,70,675,495,185
5350316.01,0316.01 (5350316.01)   00000 (  7.0%),3265,1265,940,220,505,40,285,230,55
5350316.03,0316.03 (5350316.03)   00000 (  6.3%),4635,1850,1425,355,545,80,380,295,90
5350316.04,0316.04 (5350316.04)   00100 (  4.1%),3220,1240,1020,155,410,70,315,250,65
5350316.05,0316.05 (5350316.05)   00001 (  8.1%),3110,1200,925,205,470,70,245,210,35
5350316.06,0316.06 (5350316.06)   00000 (  6.1%),2740,865,885,150,425,80,340,255,80
5350317.02,0317.02 (5350317.02)   00000 (  4.4%),6590,795,1690,280,1180,310,2335,1400,935
5350317.03,0317.03 (5350317.03)   00000 (  3.9%),3165,280,670,90,435,90,1590,800,795
5350317.04,0317.04 (5350317.04)   00000 (  3.9%),5590,715,1385,185,985,240,2080,1235,840
5350317.05,0317.05 (5350317.05)   00000 (  5.4%),2010,200,495,85,380,110,735,465,280
5350318,0318.00 (5350318.00)   00101 (  5.4%),7635,820,1940,265,1055,340,3210,2085,1120
5350319,0319.00 (5350319.00)   00001 (  5.2%),3575,505,890,190,450,135,1410,845,570
5350320.01,0320.01 (5350320.01)   00000 (  5.1%),4350,495,1205,300,700,205,1440,875,560
5350320.02,0320.02 (5350320.02)   00000 (  4.3%),5275,635,1475,245,835,230,1860,1225,630
5350321.01,0321.01 (5350321.01)   00001 (  5.6%),3410,370,790,135,475,120,1530,995,535
5350321.02,0321.02 (5350321.02)   00000 (  4.7%),3510,380,840,130,440,115,1605,1110,500
5350322.01,0322.01 (5350322.01)   00101 (  4.5%),4305,350,875,70,560,180,2265,1420,850
5350322.02,0322.02 (5350322.02)   01001 (  5.9%),2720,390,500,70,335,95,1335,770,560
5350323.01,0323.01 (5350323.01)   00000 (  6.7%),3775,425,815,150,580,115,1690,1015,675
5350323.02,0323.02 (5350323.02)   00000 (  5.4%),4180,365,865,100,565,140,2140,1250,890
5350324.01,0324.01 (5350324.01)   00001 (  8.8%),3190,510,700,150,450,90,1290,800,485
5350324.02,0324.02 (5350324.02)   00000 (  0.0%),5415,675,1240,135,830,180,2360,1440,920
5350324.03,0324.03 (5350324.03)   00000 (  4.9%),3690,490,840,80,525,160,1590,965,620
5350324.05,0324.05 (5350324.05)   00000 (  0.9%),2900,385,680,75,420,100,1245,775,465
5350324.06,0324.06 (5350324.06)   00000 (  2.7%),2795,310,645,80,385,135,1250,785,460
5350330,0330.00 (5350330.00)   00000 (  5.8%),3615,480,865,240,735,80,1225,810,410
5350331.01,0331.01 (5350331.01)   00000 (  4.3%),4745,595,1365,290,855,150,1490,975,515
5350331.03,0331.03 (5350331.03)   00000 (  3.1%),4495,1210,1405,180,740,115,840,445,395
5350331.04,0331.04 (5350331.04)   00000 (  3.8%),2680,310,740,115,535,155,825,500,325
5350332,0332.00 (5350332.00)   00001 (  6.8%),5895,1440,1640,330,1020,195,1265,860,405
5350333,0333.00 (5350333.00)   00000 (  2.5%),3915,585,1255,200,755,80,1045,730,320
5350334,0334.00 (5350334.00)   00000 (  1.8%),2900,400,765,125,545,65,1000,660,335
5350335,0335.00 (5350335.00)   00000 (  4.5%),6435,1180,1910,270,1340,130,1600,1060,540
5350336,0336.00 (5350336.00)   00000 (  6.7%),5635,1090,1860,330,1055,165,1135,760,375
5350337.01,0337.01 (5350337.01)   00101 (  8.1%),590,150,220,35,75,35,80,60,15
5350337.02,0337.02 (5350337.02)   00000 (  4.2%),1565,270,515,75,315,30,360,250,110
5350338,0338.00 (5350338.00)   00000 (  2.6%),4955,755,1330,250,1060,135,1425,955,470
5350339,0339.00 (5350339.00)   00000 (  6.3%),5610,680,1310,205,1115,120,2180,1445,735
5350340,0340.00 (5350340.00)   00000 (  3.7%),5560,975,1555,280,990,170,1585,1010,575
5350341.02,0341.02 (5350341.02)   00100 (  5.2%),3545,685,1065,175,585,90,950,615,335
5350341.03,0341.03 (5350341.03)   00001 (  9.8%),2550,590,680,115,345,105,715,340,375
5350341.04,0341.04 (5350341.04)   00000 (  4.4%),4655,995,1270,185,780,125,1290,700,590
5350342,0342.00 (5350342.00)   00000 (  3.9%),6010,1175,1630,295,1085,135,1685,1145,550
5350343,0343.00 (5350343.00)   00000 (  4.9%),3515,910,1120,195,625,70,600,350,240
5350344.01,0344.01 (5350344.01)   00001 (  9.2%),4585,1005,1405,220,820,145,985,705,285
5350344.02,0344.02 (5350344.02)   00000 (  6.7%),2750,565,805,190,570,90,530,375,150
5350345,0345.00 (5350345.00)   00000 (  3.9%),3245,705,1000,195,565,155,630,410,220
5350346.01,0346.01 (5350346.01)   00000 (  3.2%),3755,715,1195,210,625,140,870,550,325
5350346.02,0346.02 (5350346.02)   00000 (  6.2%),4365,850,1245,240,755,170,1105,675,425
5350347,0347.00 (5350347.00)   00000 (  2.9%),2200,360,580,85,355,85,740,560,180
5350348,0348.00 (5350348.00)   00000 (  2.4%),4455,790,1280,235,875,130,1150,765,385
5350349,0349.00 (5350349.00)   00000 (  4.8%),4825,940,1475,350,885,160,1015,705,310
5350350,0350.00 (5350350.00)   00000 (  4.1%),4470,910,1315,285,835,170,945,680,270
5350351.01,0351.01 (5350351.01)   00000 (  3.9%),4690,1020,1425,220,925,105,990,690,305
5350351.02,0351.02 (5350351.02)   00000 (  5.9%),2245,515,590,115,430,95,500,295,200
5350352,0352.00 (5350352.00)   00101 (  2.2%),4355,885,1360,270,805,95,940,685,260
5350353.02,0353.02 (5350353.02)   00000 (  6.1%),4300,1130,1325,225,735,100,785,590,190
5350353.03,0353.03 (5350353.03)   00000 (  3.8%),2590,455,860,160,430,80,600,400,195
5350353.04,0353.04 (5350353.04)   00001 (  6.2%),3490,825,1125,150,510,95,780,550,235
5350354,0354.00 (5350354.00)   00000 (  6.0%),4460,825,1385,210,840,145,1055,755,300
5350355.02,0355.02 (5350355.02)   00000 (  4.6%),4420,900,1290,265,900,170,900,660,235
5350355.04,0355.04 (5350355.04)   00000 (  1.3%),4030,795,1260,230,805,75,865,605,260
5350355.05,0355.05 (5350355.05)   00111 ( 10.0%),2350,595,705,160,465,95,330,235,95
5350355.06,0355.06 (5350355.06)   00011 ( 10.2%),1205,345,405,55,205,15,175,130,45
5350356,0356.00 (5350356.00)   00000 (  5.2%),3895,715,1175,205,835,70,890,700,190
5350357.01,0357.01 (5350357.01)   00000 (  5.7%),5360,1650,1760,220,735,100,895,660,240
5350357.02,0357.02 (5350357.02)   00000 (  5.1%),3860,1010,1180,190,715,100,665,475,185
5350358.01,0358.01 (5350358.01)   00000 (  5.2%),2820,540,850,220,560,80,565,420,150
5350358.02,0358.02 (5350358.02)   00001 (  6.4%),3910,880,1180,250,875,120,610,410,200
5350358.03,0358.03 (5350358.03)   00000 (  4.9%),4600,1110,1265,265,925,80,960,730,235
5350359,0359.00 (5350359.00)   00000 (  4.7%),6025,1520,1785,355,1195,165,1005,635,370
5350360,0360.00 (5350360.00)   00000 (  4.6%),5035,935,1345,340,1075,160,1175,820,360
5350361.01,0361.01 (5350361.01)   00000 (  5.6%),4955,605,1300,155,950,165,1785,1225,560
5350361.02,0361.02 (5350361.02)   00000 (  3.4%),6235,685,1520,285,1290,185,2265,1695,570
5350362.01,0362.01 (5350362.01)   00000 (  6.1%),5215,775,1610,275,1175,200,1180,860,320
5350362.02,0362.02 (5350362.02)   00000 (  2.6%),4875,725,1390,265,910,175,1405,990,410
5350362.03,0362.03 (5350362.03)   00000 (  3.8%),6055,895,1810,305,1175,230,1650,1160,490
5350362.04,0362.04 (5350362.04)   00000 (  4.4%),4225,630,1410,235,1060,115,780,575,205
5350363.02,0363.02 (5350363.02)   00000 (  1.1%),2770,410,845,170,625,70,655,460,190
5350363.04,0363.04 (5350363.04)   00000 (  2.5%),3120,485,925,195,630,130,760,510,250
5350363.05,0363.05 (5350363.05)   00101 (  4.3%),3575,705,1140,170,720,70,775,535,240
5350363.06,0363.06 (5350363.06)   00000 (  5.8%),6245,695,1630,185,1305,215,2215,1575,650
5350363.07,0363.07 (5350363.07)   00100 (  5.6%),4285,960,1310,140,500,105,1270,860,420
5350364.01,0364.01 (5350364.01)   00000 (  3.2%),4810,865,1435,260,1085,140,1030,755,275
5350364.02,0364.02 (5350364.02)   00001 (  6.2%),2495,425,825,120,485,60,580,355,225
5350365,0365.00 (5350365.00)   00000 (  5.5%),5400,1045,1785,225,835,155,1350,930,420
5350366,0366.00 (5350366.00)   00001 (  8.0%),5090,1085,1640,245,895,155,1070,725,345
5350367.01,0367.01 (5350367.01)   00000 (  4.7%),3700,660,990,150,595,95,1210,835,375
5350367.02,0367.02 (5350367.02)   00000 (  4.1%),3075,600,885,175,625,80,710,470,240
5350368.01,0368.01 (5350368.01)   00101 (  6.8%),6240,580,1930,155,1070,180,2320,1745,575
5350368.02,0368.02 (5350368.02)   00000 (  5.8%),3320,685,975,190,510,100,865,660,200
5350369,0369.00 (5350369.00)   00000 (  3.4%),6305,1530,1995,245,1090,165,1270,795,480
5350370.01,0370.01 (5350370.01)   00000 (  4.8%),7940,1545,2225,355,1345,270,2205,1515,690
5350370.02,0370.02 (5350370.02)   00000 (  3.7%),4470,960,1265,230,745,155,1110,770,340
5350370.03,0370.03 (5350370.03)   00000 (  4.3%),3365,585,1140,175,660,115,690,515,170
5350371,0371.00 (5350371.00)   00000 (  3.4%),6240,1095,2070,410,1135,205,1325,975,350
5350372,0372.00 (5350372.00)   00000 (  3.6%),3830,690,1200,180,635,135,990,670,310
5350373,0373.00 (5350373.00)   00001 (  6.9%),3970,750,1180,220,670,115,1035,740,300
5350374.01,0374.01 (5350374.01)   00000 (  1.5%),4100,680,1005,185,690,210,1325,985,340
5350374.02,0374.02 (5350374.02)   00000 (  3.3%),2760,545,875,150,480,110,595,430,160
5350374.03,0374.03 (5350374.03)   00000 (  4.9%),3790,940,1135,135,565,120,905,690,210
5350375.01,0375.01 (5350375.01)   00000 (  2.8%),5450,1335,1530,270,925,155,1235,870,360
5350375.02,0375.02 (5350375.02)   00000 (  3.0%),1715,235,390,60,235,50,735,475,255
5350375.03,0375.03 (5350375.03)   00000 (  5.7%),4335,970,1230,175,720,110,1135,765,375
5350375.04,0375.04 (5350375.04)   00000 (  3.0%),4610,935,1245,125,880,130,1300,980,315
5350375.05,0375.05 (5350375.05)   00000 (  1.0%),5890,855,1530,240,1160,225,1880,1305,570
5350376.01,0376.01 (5350376.01)   00000 (  6.8%),4225,1100,1280,145,665,90,945,685,260
5350376.02,0376.02 (5350376.02)   00000 (  5.6%),4310,1165,1255,160,655,140,940,735,205
5350376.04,0376.04 (5350376.04)   00000 (  5.1%),4315,660,1185,115,755,175,1425,1085,340
5350376.05,0376.05 (5350376.05)   00000 (  2.5%),5955,1890,1845,130,640,125,1325,1010,315
5350376.06,0376.06 (5350376.06)   02000 (  1.2%),375,155,85,20,45,25,45,35,10
5350376.08,0376.08 (5350376.08)   00000 (  3.3%),5365,1185,1480,220,965,180,1340,900,440
5350376.09,0376.09 (5350376.09)   00000 (  3.8%),4210,945,1255,135,605,140,1125,820,305
5350376.11,0376.11 (5350376.11)   00000 (  2.0%),2870,660,920,90,425,95,685,470,210
5350376.12,0376.12 (5350376.12)   00000 (  2.1%),4670,830,1325,150,795,110,1460,980,485
5350376.13,0376.13 (5350376.13)   00000 (  3.5%),3470,725,1060,115,400,140,1025,725,295
5350376.14,0376.14 (5350376.14)   00000 (  5.2%),3175,750,885,105,450,80,905,675,230
5350376.15,0376.15 (5350376.15)   00000 (  4.0%),3400,620,865,120,485,100,1215,820,390
5350376.16,0376.16 (5350376.16)   00001 (  5.8%),3055,480,845,160,515,65,995,665,330
5350377.01,0377.01 (5350377.01)   00000 (  2.2%),7895,1365,2265,235,1240,235,2555,1825,730
5350377.02,0377.02 (5350377.02)   00000 (  1.7%),3855,860,1120,130,550,140,1055,795,260
5350377.03,0377.03 (5350377.03)   00000 (  4.3%),2420,530,655,105,320,120,690,510,180
5350377.04,0377.04 (5350377.04)   00000 (  3.0%),5125,1560,1540,160,645,155,1055,815,235
5350377.06,0377.06 (5350377.06)   00000 (  0.8%),3155,940,1040,65,360,70,675,540,135
5350377.07,0377.07 (5350377.07)   00000 (  4.3%),4015,1165,1190,100,595,90,880,695,185
5350378.02,0378.02 (5350378.02)   00001 (  5.5%),2800,635,805,120,405,80,745,570,170
5350378.03,0378.03 (5350378.03)   00000 (  3.8%),6270,1055,2060,240,1365,175,1390,1070,315
5350378.04,0378.04 (5350378.04)   00000 (  4.9%),4795,1015,1400,215,790,145,1240,870,370
5350378.05,0378.05 (5350378.05)   00000 (  4.8%),3165,555,1075,165,715,95,550,400,150
5350378.06,0378.06 (5350378.06)   00000 (  4.4%),4910,1260,1495,305,910,105,835,630,205
5350378.07,0378.07 (5350378.07)   00000 (  4.4%),5855,1170,1895,220,945,200,1420,1020,400
5350378.08,0378.08 (5350378.08)   00000 (  5.0%),5505,1470,1665,220,940,135,1070,835,240
5350378.11,0378.11 (5350378.11)   00000 (  5.3%),4750,1020,1500,240,790,135,1065,830,235
5350378.12,0378.12 (5350378.12)   00000 (  6.3%),4205,860,1410,295,950,120,565,440,125
5350378.14,0378.14 (5350378.14)   00000 (  4.3%),3245,745,1020,110,475,95,795,565,230
5350378.16,0378.16 (5350378.16)   00000 (  3.9%),5090,1045,1630,265,975,125,1050,800,245
5350378.17,0378.17 (5350378.17)   00000 (  5.5%),2690,525,1020,140,425,45,540,420,120
5350378.18,0378.18 (5350378.18)   00000 (  2.2%),2210,600,700,50,340,110,415,310,110
5350378.19,0378.19 (5350378.19)   00000 (  5.7%),4480,1080,1510,130,675,135,950,745,210
5350378.2,0378.20 (5350378.20)   00000 (  4.3%),1850,535,570,65,300,40,335,255,80
5350378.21,0378.21 (5350378.21)   00000 (  3.1%),3380,895,1150,120,420,85,720,645,80
5350378.22,0378.22 (5350378.22)   00000 (  3.0%),2910,970,870,60,320,75,615,480,135
5350378.23,0378.23 (5350378.23)   00000 (  4.3%),3620,960,945,115,510,105,980,730,250
5350378.24,0378.24 (5350378.24)   00000 (  6.1%),5085,1280,1625,175,645,150,1210,915,295
5350378.25,0378.25 (5350378.25)   00000 (  5.9%),6305,1420,2090,240,1030,215,1315,960,360
5350378.26,0378.26 (5350378.26)   00000 (  3.2%),3890,885,1205,160,730,110,800,625,170
5350378.27,0378.27 (5350378.27)   00000 (  4.1%),4620,905,1430,165,780,155,1185,885,300
5350378.28,0378.28 (5350378.28)   00000 (  4.2%),6020,1120,1995,275,1235,230,1170,895,280
5350400.02,0400.02 (5350400.02)   00000 (  1.0%),4955,550,1170,205,1045,90,1895,1350,545
5350400.03,0400.03 (5350400.03)   00000 (  3.6%),2580,400,670,95,395,70,945,670,275
5350400.04,0400.04 (5350400.04)   00000 (  0.7%),1610,165,420,80,300,20,620,445,175
5350400.06,0400.06 (5350400.06)   00000 (  5.2%),2555,250,750,95,575,60,825,615,215
5350400.07,0400.07 (5350400.07)   00000 (  5.5%),2715,345,645,140,570,70,945,705,235
5350400.08,0400.08 (5350400.08)   00001 (  7.1%),2400,480,610,140,470,60,630,380,255
5350400.11,0400.11 (5350400.11)   00000 (  1.1%),5305,1215,1640,115,795,190,1345,985,360
5350400.12,0400.12 (5350400.12)   00000 (  4.7%),6035,1130,1740,265,1045,150,1700,1200,505
5350400.13,0400.13 (5350400.13)   00000 (  5.3%),5370,1310,1790,110,725,90,1345,990,355
5350400.14,0400.14 (5350400.14)   00000 (  0.6%),5205,1265,1755,180,720,170,1125,880,250
5350400.15,0400.15 (5350400.15)   00000 (  1.7%),3840,410,985,125,755,95,1470,1005,465
5350400.16,0400.16 (5350400.16)   00000 (  0.0%),4430,745,1235,150,665,160,1485,1090,395
5350400.17,0400.17 (5350400.17)   00000 (  4.1%),3920,985,1300,170,535,85,835,580,255
5350400.18,0400.18 (5350400.18)   00000 (  2.9%),2040,640,610,80,300,45,360,290,75
5350400.19,0400.19 (5350400.19)   00000 (  3.0%),7295,975,1790,240,1215,190,2890,2190,695
5350400.2,0400.20 (5350400.20)   00000 (  4.7%),3325,475,890,65,540,95,1260,940,315
5350400.21,0400.21 (5350400.21)   00000 (  3.0%),1525,255,370,50,295,35,520,395,120
5350400.22,0400.22 (5350400.22)   00000 (  1.6%),7275,1300,1945,165,1160,190,2505,1750,760
5350400.23,0400.23 (5350400.23)   00000 (  3.8%),6880,1310,2115,120,1150,295,1895,1325,570
5350401.04,0401.04 (5350401.04)   00000 (  3.7%),2835,625,870,110,510,60,660,485,175
5350401.05,0401.05 (5350401.05)   00001 (  7.2%),2125,315,565,30,310,105,800,540,260
5350401.06,0401.06 (5350401.06)   00000 (  1.1%),4270,545,1010,95,635,120,1860,1185,670
5350401.07,0401.07 (5350401.07)   00000 (  4.3%),3310,415,910,70,420,105,1390,970,415
5350401.08,0401.08 (5350401.08)   00000 (  3.2%),2695,250,580,70,385,60,1350,840,505
5350401.09,0401.09 (5350401.09)   00000 (  3.1%),7285,985,1775,155,990,295,3090,2000,1095
5350401.1,0401.10 (5350401.10)   00000 (  3.3%),4075,575,885,120,605,85,1800,1230,570
5350401.11,0401.11 (5350401.11)   00000 (  1.3%),5785,1315,1665,180,1010,170,1450,1080,370
5350401.13,0401.13 (5350401.13)   00000 (  3.7%),5510,1775,1760,150,735,150,935,725,210
5350401.14,0401.14 (5350401.14)   00000 (  3.5%),6735,960,1770,150,1015,205,2630,1845,790
5350401.15,0401.15 (5350401.15)   00000 (  2.8%),2430,330,700,80,455,80,780,515,265
5350401.17,0401.17 (5350401.17)   00000 (  3.5%),3095,705,1045,85,415,85,755,550,210
5350401.18,0401.18 (5350401.18)   00000 (  6.6%),5470,610,1475,125,940,180,2140,1510,625
5350401.19,0401.19 (5350401.19)   00001 (  7.9%),5985,1995,1830,110,755,110,1190,960,225
5350401.2,0401.20 (5350401.20)   00000 (  3.4%),3765,1145,1240,110,435,90,750,630,125
5350401.21,0401.21 (5350401.21)   00000 (  4.2%),2550,745,845,55,330,60,510,410,110
5350401.22,0401.22 (5350401.22)   00000 (  2.7%),6920,1615,1970,170,945,205,2015,1490,525
5350401.23,0401.23 (5350401.23)   00000 (  2.0%),1640,270,470,70,270,65,500,300,200
5350402.01,0402.01 (5350402.01)   00000 (  5.3%),2070,190,465,70,360,95,895,550,340
5350402.02,0402.02 (5350402.02)   00000 (  3.3%),4735,460,1050,215,660,130,2210,1375,835
5350402.03,0402.03 (5350402.03)   00000 (  2.4%),2585,330,465,110,435,100,1155,655,500
5350402.04,0402.04 (5350402.04)   00000 (  4.1%),4390,365,940,115,595,200,2180,1375,810
5350402.05,0402.05 (5350402.05)   00000 (  1.4%),1780,180,405,55,185,70,880,550,330
5350402.06,0402.06 (5350402.06)   00000 (  1.3%),5240,775,1290,230,800,180,1970,1255,710
5350402.07,0402.07 (5350402.07)   00000 (  2.9%),1705,175,435,90,320,50,640,415,225
5350402.08,0402.08 (5350402.08)   00000 (  2.1%),5465,455,1250,155,715,215,2675,1695,985
5350402.09,0402.09 (5350402.09)   00000 (  3.5%),3245,315,830,130,555,120,1300,880,420
5350402.1,0402.10 (5350402.10)   00000 (  4.2%),3070,260,710,90,480,90,1440,980,460
5350402.12,0402.12 (5350402.12)   00000 (  5.6%),5380,640,1340,135,780,195,2290,1695,595
5350402.13,0402.13 (5350402.13)   00000 (  3.3%),4335,375,760,70,505,160,2465,1525,935
5350403.01,0403.01 (5350403.01)   00000 (  2.1%),6565,980,1790,135,890,195,2585,1835,755
5350403.04,0403.04 (5350403.04)   00000 (  3.1%),3525,510,825,65,440,125,1560,1175,390
5350403.05,0403.05 (5350403.05)   00000 (  2.9%),3235,315,685,95,365,90,1685,1125,560
5350403.07,0403.07 (5350403.07)   00000 (  3.0%),9470,1650,2275,200,1425,295,3620,2555,1060
5350403.09,0403.09 (5350403.09)   00000 (  1.9%),4175,750,1055,100,630,115,1535,1110,430
5350403.1,0403.10 (5350403.10)   00000 (  4.5%),4465,765,1165,45,705,115,1665,1185,480
5350403.11,0403.11 (5350403.11)   00000 (  2.8%),8295,1520,2150,200,1345,235,2845,2030,815
5350403.12,0403.12 (5350403.12)   00000 (  3.9%),7225,1255,1710,175,1000,250,2840,2110,725
