CTUID,Geography,Total  Highest certificate diploma or degree,  No certificate diploma or degree,  Secondary (high) school diploma or equivalency certificate,  Apprenticeship or trades certificate or diploma,  College CEGEP or other nonuniversity certificate or diploma,  University certificate or diploma below bachelor level,  University certificate diploma or degree at bachelor level or above,    Bachelor's degree,    University certificate diploma or degree above bachelor level
5350240.02,0240.02 (5350240.02)   00000 (  3.6%),5005,870,1270,330,915,230,1385,895,490
5350241,0241.00 (5350241.00)   00000 (  2.8%),2365,415,565,130,505,35,710,450,265
5350242,0242.00 (5350242.00)   00001 (  7.3%),1290,265,465,55,225,30,250,170,80
5350243.01,0243.01 (5350243.01)   00001 (  8.8%),5035,1510,1590,230,645,145,920,600,320
5350243.02,0243.02 (5350243.02)   00001 (  6.1%),3180,820,1030,145,530,95,560,405,155
5350244.01,0244.01 (5350244.01)   00001 (  6.2%),4735,1035,1660,340,865,120,710,535,170
5350244.02,0244.02 (5350244.02)   00000 (  8.3%),2910,835,955,135,515,50,420,285,135
5350245,0245.00 (5350245.00)   00001 (  6.0%),5690,1290,1800,400,1040,150,1015,765,245
5350246,0246.00 (5350246.00)   00000 (  5.6%),3035,675,875,185,585,115,605,415,190
5350247.01,0247.01 (5350247.01)   00000 (  6.5%),7275,1310,2070,340,1385,190,1980,1285,695
5350247.02,0247.02 (5350247.02)   00000 (  2.6%),6055,1275,1820,415,1045,145,1345,935,415
5350248.02,0248.02 (5350248.02)   00001 (  8.5%),4275,1310,1380,215,690,75,595,470,130
5350248.03,0248.03 (5350248.03)   00001 (  7.8%),2160,455,700,135,375,55,440,305,130
5350248.04,0248.04 (5350248.04)   00101 (  4.8%),4050,705,1360,145,845,140,845,605,240
5350248.05,0248.05 (5350248.05)   00101 (  6.5%),3580,1010,1025,200,585,130,630,485,150
5350249.01,0249.01 (5350249.01)   00000 (  5.1%),3830,1060,1320,205,620,50,585,375,210
5350249.03,0249.03 (5350249.03)   00000 (  3.5%),4720,1140,1535,190,785,150,930,630,300
5350249.04,0249.04 (5350249.04)   00000 (  2.6%),2870,930,765,170,365,45,595,385,205
5350249.05,0249.05 (5350249.05)   00000 (  2.5%),4225,1230,1180,155,435,85,1150,750,390
5350250.01,0250.01 (5350250.01)   00001 (  7.5%),4295,1180,1090,250,670,140,965,670,300
5350250.02,0250.02 (5350250.02)   00000 (  4.8%),4100,895,1250,325,770,145,720,510,210
5350250.04,0250.04 (5350250.04)   00111 ( 11.1%),4610,1135,1450,285,895,160,680,450,230
5350250.05,0250.05 (5350250.05)   00000 (  2.1%),5930,2215,1690,200,845,140,840,570,270
5350260.01,0260.01 (5350260.01)   00000 (  4.0%),5555,1080,1500,240,990,160,1585,1085,500
5350260.04,0260.04 (5350260.04)   00000 (  4.4%),3180,700,935,100,470,80,895,540,355
5350260.05,0260.05 (5350260.05)   00101 (  5.4%),2840,1040,905,85,330,55,430,245,190
5350260.06,0260.06 (5350260.06)   00000 (  2.4%),2650,460,650,90,405,150,895,650,250
5350260.07,0260.07 (5350260.07)   00000 (  3.1%),3315,545,860,135,555,105,1110,760,355
5350261,0261.00 (5350261.00)   00000 (  4.3%),4465,1060,1170,215,790,140,1100,805,295
5350262.01,0262.01 (5350262.01)   00000 (  3.5%),4890,845,1255,270,1185,125,1225,850,375
5350262.02,0262.02 (5350262.02)   00000 (  5.1%),5195,1030,1360,255,960,165,1435,975,460
5350263.02,0263.02 (5350263.02)   00000 (  4.5%),3030,280,680,145,465,100,1360,850,510
5350263.03,0263.03 (5350263.03)   00000 (  4.4%),3825,490,865,155,645,115,1555,1025,525
5350263.04,0263.04 (5350263.04)   00000 (  5.2%),5770,445,1410,245,1045,230,2390,1510,880
5350264,0264.00 (5350264.00)   00000 (  2.4%),1135,120,295,20,85,40,575,315,260
5350265,0265.00 (5350265.00)   00000 (  3.1%),3820,275,630,35,215,75,2585,1370,1210
5350266,0266.00 (5350266.00)   00000 (  3.5%),2790,220,575,50,210,100,1635,895,735
5350267,0267.00 (5350267.00)   00000 (  1.4%),5275,555,830,95,455,145,3205,1680,1520
5350268,0268.00 (5350268.00)   00000 (  2.7%),5495,540,1360,160,875,200,2360,1430,925
5350269.01,0269.01 (5350269.01)   00001 (  5.1%),4275,580,1195,215,875,165,1245,765,480
5350269.02,0269.02 (5350269.02)   00000 (  3.3%),2185,150,415,75,335,70,1140,710,435
5350270.01,0270.01 (5350270.01)   00001 (  5.2%),4240,535,1105,225,825,145,1405,905,500
5350270.02,0270.02 (5350270.02)   00000 (  2.9%),3335,495,930,145,600,125,1035,660,380
5350271.01,0271.01 (5350271.01)   00000 (  3.5%),2155,315,525,70,395,50,795,530,270
5350271.02,0271.02 (5350271.02)   00000 (  3.7%),3795,570,1070,165,675,145,1180,745,435
5350272.01,0272.01 (5350272.01)   00001 (  6.4%),4850,970,1385,225,875,190,1200,855,345
5350272.02,0272.02 (5350272.02)   00000 (  5.9%),4065,540,1035,190,715,170,1410,945,465
5350273.01,0273.01 (5350273.01)   00000 (  2.6%),3245,325,740,50,340,120,1680,880,800
5350273.02,0273.02 (5350273.02)   00000 (  1.5%),3565,350,650,50,400,140,1980,1095,885
5350274.01,0274.01 (5350274.01)   00000 (  3.5%),4010,430,860,90,525,150,1955,1035,915
5350274.02,0274.02 (5350274.02)   00001 (  5.3%),4225,340,880,90,560,190,2155,1200,960
5350275,0275.00 (5350275.00)   00000 (  3.9%),5035,495,995,145,495,110,2795,1720,1080
5350276.01,0276.01 (5350276.01)   00000 (  4.7%),5010,595,980,205,790,135,2310,1445,865
5350276.02,0276.02 (5350276.02)   00000 (  2.4%),5370,550,975,100,550,185,3015,1645,1370
5350277,0277.00 (5350277.00)   00000 (  3.5%),3145,340,860,80,315,45,1500,845,660
5350278,0278.00 (5350278.00)   00000 (  6.6%),5790,805,1420,230,815,180,2340,1420,915
5350279.01,0279.01 (5350279.01)   00000 (  4.3%),3510,865,915,225,530,105,870,530,350
5350279.02,0279.02 (5350279.02)   00000 (  5.1%),4960,1680,1465,340,650,120,695,475,215
5350280,0280.00 (5350280.00)   00000 (  5.1%),6035,1630,1760,435,1090,155,965,730,235
5350281.01,0281.01 (5350281.01)   00000 (  3.8%),5285,1670,1465,385,875,175,715,530,190
5350281.02,0281.02 (5350281.02)   00001 (  5.6%),3035,970,930,235,580,80,240,180,60
